cv_grid,cv_scoring,encoder,encoder__max_iter,encoder__random_state,classifier,classifier__random_state,mean_roc_auc,std_roc_auc,mean_fit_time,std_fit_time
,,drop,,,LogisticRegression,20210902,0.5716726939558217,0.014672905578294848,0.18840744495391845,0.04802131859844945
,,drop,,,RandomForestClassifier,20210902,0.65092955773943,0.005711813571102914,5.225624442100525,0.058350916201871335
,,drop,,,GradientBoostingClassifier,20210902,0.6695118340534987,0.00463702995506167,3.5539812564849855,0.009187581516261903
,,drop,,,MLPClassifier,20210902,0.5247879256969126,0.035407593786999196,5.121137595176696,1.231615936456403
,,SpectralTargetEncoder,,,LogisticRegression,20210902,0.6528631353133741,0.009291294611744497,0.410498046875,0.0073655172229554955
,,SpectralTargetEncoder,,,RandomForestClassifier,20210902,0.6644660018187871,0.0034964305498811016,4.7899391651153564,0.07598494261247275
,,SpectralTargetEncoder,,,GradientBoostingClassifier,20210902,0.67613050184371,0.006234005007978037,4.9214081287384035,0.03855982759617086
,,SpectralTargetEncoder,,,MLPClassifier,20210902,0.6801348940742301,0.006690467457913248,29.87261598110199,2.2487191691024937
STEGrid,roc_auc,SpectralTargetEncoder,,,LogisticRegression,20210902,0.65255157790969,0.009304060811988844,25.005933237075805,0.13849664340437695
STEGrid,roc_auc,SpectralTargetEncoder,,,RandomForestClassifier,20210902,0.6642006675634291,0.004261851034185552,236.5160155773163,8.236845561554144
STEGrid,roc_auc,SpectralTargetEncoder,,,GradientBoostingClassifier,20210902,0.6760125083512236,0.006156333810523921,239.3041151046753,1.745981389907055
STEGrid,roc_auc,SpectralTargetEncoder,,,MLPClassifier,20210902,0.6814307818225285,0.006757021138529826,1477.6937256574631,57.04254016235447
,,MLE-HBBMEncoder,,,LogisticRegression,20210902,0.6531759876848492,0.007985183084813448,11.603297448158264,1.4929298156191388
,,MLE-HBBMEncoder,,,RandomForestClassifier,20210902,0.664310206726739,0.005960461609356983,16.01152100563049,1.5095030233166258
,,MLE-HBBMEncoder,,,GradientBoostingClassifier,20210902,0.6759357078178478,0.006695139936431685,16.057614469528197,1.494969848003385
,,MLE-HBBMEncoder,,,MLPClassifier,20210902,0.6817678400505358,0.006856270365362372,41.11197271347046,2.2121418390479506
,,MLE-HBBMEncoder,1,,LogisticRegression,20210902,0.6331673034282375,0.007567513729419361,1.0830098390579224,0.014607178672124046
,,MLE-HBBMEncoder,1,,RandomForestClassifier,20210902,0.6609028201886853,0.006285606684894347,5.539196038246155,0.054661192287215284
,,MLE-HBBMEncoder,1,,GradientBoostingClassifier,20210902,0.6635681882756803,0.005284365368155418,5.529310703277588,0.015295027698687355
,,MLE-HBBMEncoder,1,,MLPClassifier,20210902,0.6674815903636626,0.00781435565654447,27.02427682876587,3.551444028600328
,,MLE-HBBMEncoder,5,,LogisticRegression,20210902,0.6381682370370865,0.008194425335562958,3.0887473106384276,0.04807106798225971
,,MLE-HBBMEncoder,5,,RandomForestClassifier,20210902,0.6670530986256282,0.004485949127320398,7.546965742111206,0.08428985818600704
,,MLE-HBBMEncoder,5,,GradientBoostingClassifier,20210902,0.6714088754448254,0.005678638696833534,7.536901903152466,0.04857961750411747
,,MLE-HBBMEncoder,5,,MLPClassifier,20210902,0.6689944566895865,0.0069217667320903,28.692087650299072,4.151825655229407
,,MLE-HBBMEncoder,10,,LogisticRegression,20210902,0.6383359441852668,0.009185183393212715,4.143110275268555,0.05223705711183067
,,MLE-HBBMEncoder,10,,RandomForestClassifier,20210902,0.6659991213874101,0.006412700273649888,8.525866675376893,0.09078376150595081
,,MLE-HBBMEncoder,10,,GradientBoostingClassifier,20210902,0.6744155244529014,0.006084837524544365,8.585930943489075,0.05081917916325745
,,MLE-HBBMEncoder,10,,MLPClassifier,20210902,0.6676384337357633,0.0074938188177742235,28.792617630958556,3.3281389694051717
,,MLE-HBBMEncoder,50,,LogisticRegression,20210902,0.6537206518864311,0.007597768199221958,11.655256128311157,1.5875321228108676
,,MLE-HBBMEncoder,50,,RandomForestClassifier,20210902,0.664310206726739,0.005960461609356983,16.000429654121398,1.5456401602502325
,,MLE-HBBMEncoder,50,,GradientBoostingClassifier,20210902,0.6759357078178478,0.006695139936431685,16.10015230178833,1.5776397478948143
,,MLE-HBBMEncoder,50,,MLPClassifier,20210902,0.6819133427567321,0.006938116421533988,40.87480070590973,2.2581549588486225
,,JamesSteinEncoder,,20210902,LogisticRegression,20210902,0.6232802749782304,0.008236964103356099,0.48005247116088867,0.042637621604555656
,,JamesSteinEncoder,,20210902,RandomForestClassifier,20210902,0.6584168642234131,0.00522762109315299,4.928631043434143,0.06327370862701355
,,JamesSteinEncoder,,20210902,GradientBoostingClassifier,20210902,0.6606276422347801,0.006540450357176924,4.892803168296814,0.013860341397188818
,,JamesSteinEncoder,,20210902,MLPClassifier,20210902,0.6519795452139862,0.007742646275501768,24.8215913772583,4.094418154541662
,,GLMMEncoder,,20210902,LogisticRegression,20210902,0.6516152252890784,0.008071986973175025,115.72280595302581,4.633343094681912
,,GLMMEncoder,,20210902,RandomForestClassifier,20210902,0.6639788158663625,0.005019486731777926,120.0531629562378,4.641897099446527
,,GLMMEncoder,,20210902,GradientBoostingClassifier,20210902,0.6760265094153217,0.006775947799380282,120.16220309734345,4.637687487693908
,,GLMMEncoder,,20210902,MLPClassifier,20210902,0.6775309508425421,0.007038767812026823,143.65887253284455,7.470569245177054
,,TargetEncoder,,,LogisticRegression,20210902,0.6316100877131816,0.00870095580228957,0.45437169075012207,0.06080279288786113
