cv_grid,cv_scoring,encoder,encoder__max_iter,encoder__random_state,classifier,classifier__random_state,mean_fit_time,std_fit_time,mean_roc_auc,std_roc_auc
,,drop,,,LogisticRegression,20210902,,,,
,,drop,,,RandomForestClassifier,20210902,,,,
,,drop,,,GradientBoostingClassifier,20210902,,,,
,,drop,,,MLPClassifier,20210902,,,,
,,SpectralTargetEncoder,,,LogisticRegression,20210902,0.15833215713500975,0.004591204210161417,0.737084201313989,0.01671328544253134
,,SpectralTargetEncoder,,,RandomForestClassifier,20210902,0.43650383949279786,0.01711544898875095,0.6465017616149696,0.014188702316716435
,,SpectralTargetEncoder,,,GradientBoostingClassifier,20210902,0.7488732099533081,0.0030081781676629007,0.6804078547132192,0.018750254507724152
,,SpectralTargetEncoder,,,MLPClassifier,20210902,4.9103680610656735,0.12432273856837717,0.6619123357151495,0.026176663151889427
STEGrid,roc_auc,SpectralTargetEncoder,,,LogisticRegression,20210902,14.68935513496399,0.12324942980902724,0.7813572852887682,0.015299295430163715
STEGrid,roc_auc,SpectralTargetEncoder,,,RandomForestClassifier,20210902,25.366775488853456,0.4149882884065897,0.6470623221959773,0.014105859741985652
STEGrid,roc_auc,SpectralTargetEncoder,,,GradientBoostingClassifier,20210902,39.26636469364166,0.3012615020846617,0.6781291174008491,0.016036162821559757
STEGrid,roc_auc,SpectralTargetEncoder,,,MLPClassifier,20210902,241.41775856018066,2.284814170170049,0.774209741357206,0.017664760885501857
,,MLE-HBBMEncoder,,,LogisticRegression,20210902,79.3842868566513,13.296251524133401,0.6914820378145453,0.015954233457766833
,,MLE-HBBMEncoder,,,RandomForestClassifier,20210902,79.66575284004212,13.292302558398632,0.6485913211207863,0.013919074169535138
,,MLE-HBBMEncoder,,,GradientBoostingClassifier,20210902,79.98177492618561,13.291426425899996,0.676170347632254,0.015620450987868404
,,MLE-HBBMEncoder,,,MLPClassifier,20210902,84.15186817646027,13.297377810316327,0.6913978590955732,0.013566773901951807
,,MLE-HBBMEncoder,1,,LogisticRegression,20210902,10.239516401290894,0.217205137075222,0.5860722028774595,0.02364534811394105
,,MLE-HBBMEncoder,1,,RandomForestClassifier,20210902,10.546604299545288,0.2176244352514463,0.5926163682263655,0.020373636429054855
,,MLE-HBBMEncoder,1,,GradientBoostingClassifier,20210902,10.845095467567443,0.21859991906543447,0.6375598312934252,0.02011862889898083
,,MLE-HBBMEncoder,1,,MLPClassifier,20210902,15.146533441543578,0.33966060533218684,0.589082109755695,0.029761082098373474
,,MLE-HBBMEncoder,5,,LogisticRegression,20210902,20.630215692520142,0.3512496312722898,0.6184777222558477,0.018486051561781285
,,MLE-HBBMEncoder,5,,RandomForestClassifier,20210902,20.93601565361023,0.3552634234272923,0.6328613854487957,0.011491852570685315
,,MLE-HBBMEncoder,5,,GradientBoostingClassifier,20210902,21.233826756477356,0.354748548635383,0.6743945437179499,0.018029898240380208
,,MLE-HBBMEncoder,5,,MLPClassifier,20210902,25.489633011817933,0.363346121339667,0.6290867376173932,0.02435956885932787
,,MLE-HBBMEncoder,10,,LogisticRegression,20210902,28.97189030647278,0.30752380109493943,0.6315271612268754,0.01678011415826731
,,MLE-HBBMEncoder,10,,RandomForestClassifier,20210902,29.27800073623657,0.3058761045302963,0.6407180630328172,0.012420119609575717
,,MLE-HBBMEncoder,10,,GradientBoostingClassifier,20210902,29.571581053733826,0.30661215273335596,0.6685651246946016,0.017495040065482435
,,MLE-HBBMEncoder,10,,MLPClassifier,20210902,33.80043315887451,0.3062559295483125,0.6406831695702916,0.021608479830758875
,,MLE-HBBMEncoder,50,,LogisticRegression,20210902,80.1296799659729,13.340279546996204,0.6914820378145453,0.015954233457766833
,,MLE-HBBMEncoder,50,,RandomForestClassifier,20210902,80.40945398807526,13.344115150780322,0.6485913211207863,0.013919074169535138
,,MLE-HBBMEncoder,50,,GradientBoostingClassifier,20210902,80.72224802970887,13.336800877881961,0.676170347632254,0.015620450987868404
,,MLE-HBBMEncoder,50,,MLPClassifier,20210902,84.78226211071015,13.36948297467871,0.6913945368364369,0.01357444789284553
,,JamesSteinEncoder,,20210902,LogisticRegression,20210902,0.24278204441070556,0.013343915959302202,0.6075899286398855,0.017689944514581855
,,JamesSteinEncoder,,20210902,RandomForestClassifier,20210902,0.5179248094558716,0.021230953628640734,0.6304203568720261,0.015769599920211725
,,JamesSteinEncoder,,20210902,GradientBoostingClassifier,20210902,0.7825904130935669,0.013503288117024238,0.667645396310348,0.018065113430424898
,,JamesSteinEncoder,,20210902,MLPClassifier,20210902,4.741209578514099,0.3952007869917438,0.5783138441211313,0.02255371114162524
,,GLMMEncoder,,20210902,LogisticRegression,20210902,566.9673918962478,29.657028313984544,0.7063481575394966,0.018914257548091406
,,GLMMEncoder,,20210902,RandomForestClassifier,20210902,567.2489363908768,29.656658416048636,0.6521130128762548,0.018952974380916525
,,GLMMEncoder,,20210902,GradientBoostingClassifier,20210902,567.632400393486,29.66832477553708,0.6767164174163585,0.019159379633940255
,,GLMMEncoder,,20210902,MLPClassifier,20210902,571.9064041614532,29.65627268650942,0.6510563853089975,0.018409293010410298
,,TargetEncoder,,,LogisticRegression,20210902,0.26371548175811765,0.002672053778207553,0.6340787599304326,0.020244066785871522
,,TargetEncoder,,,RandomForestClassifier,20210902,0.5565266370773315,0.01105741990537765,0.647500679128717,0.015531284439504866
,,TargetEncoder,,,GradientBoostingClassifier,20210902,0.8466037273406982,0.004595701720135897,0.6535058778338114,0.014491436288455678
