cv_grid,cv_scoring,encoder,encoder__max_iter,encoder__random_state,classifier,classifier__random_state,mean_fit_time,std_fit_time,mean_roc_auc,std_roc_auc
,,drop,,,LogisticRegression,20210902,,,,
,,drop,,,RandomForestClassifier,20210902,,,,
,,drop,,,GradientBoostingClassifier,20210902,,,,
,,drop,,,MLPClassifier,20210902,,,,
,,SpectralTargetEncoder,,,LogisticRegression,20210902,0.08162550926208496,0.00417723482199918,0.615782917662054,0.013588972492565028
,,SpectralTargetEncoder,,,RandomForestClassifier,20210902,0.6424925327301025,0.04583291364842756,0.5807781276964089,0.011310614219336018
,,SpectralTargetEncoder,,,GradientBoostingClassifier,20210902,0.4894023180007935,0.0022810767908538546,0.5841859314409679,0.010649991118910724
,,SpectralTargetEncoder,,,MLPClassifier,20210902,8.38630588054657,0.920196905707179,0.5916378048264974,0.014181901485096824
STEGrid,roc_auc,SpectralTargetEncoder,,,LogisticRegression,20210902,7.6567388534545895,0.037164909591986386,0.6269993986322092,0.0108526369796357
STEGrid,roc_auc,SpectralTargetEncoder,,,RandomForestClassifier,20210902,32.33624413013458,0.23534321728056712,0.58063410083201,0.010423227999696983
STEGrid,roc_auc,SpectralTargetEncoder,,,GradientBoostingClassifier,20210902,24.901110005378722,0.08150611188046504,0.5857936251538052,0.011617609353486246
STEGrid,roc_auc,SpectralTargetEncoder,,,MLPClassifier,20210902,449.1701858282089,3.528785069069073,0.61496993080784,0.014704401722352125
,,MLE-HBBMEncoder,,,LogisticRegression,20210902,32.26962924003601,3.8852225716433644,0.625697632033143,0.01007130742277961
,,MLE-HBBMEncoder,,,RandomForestClassifier,20210902,32.90877027511597,3.8888503032798463,0.5827884816397859,0.011055476786297065
,,MLE-HBBMEncoder,,,GradientBoostingClassifier,20210902,32.69237627983093,3.8857545186983002,0.586779540402293,0.01080263959672349
,,MLE-HBBMEncoder,,,MLPClassifier,20210902,41.42762739658356,3.8729864934987397,0.6076236815499436,0.01589843180921057
,,MLE-HBBMEncoder,1,,LogisticRegression,20210902,2.039502263069153,0.009387257902670063,0.5833273486408629,0.014136106019506062
,,MLE-HBBMEncoder,1,,RandomForestClassifier,20210902,2.613267683982849,0.047122374711336124,0.5716052440627342,0.01326695347883939
,,MLE-HBBMEncoder,1,,GradientBoostingClassifier,20210902,2.467913818359375,0.00689453242051144,0.5756064924686288,0.012793807538649813
,,MLE-HBBMEncoder,1,,MLPClassifier,20210902,11.195691871643067,0.2037017036902685,0.587745096463601,0.013822439966167955
,,MLE-HBBMEncoder,5,,LogisticRegression,20210902,7.8743008852005,0.07718298117937296,0.5844921342272622,0.014164118805018071
,,MLE-HBBMEncoder,5,,RandomForestClassifier,20210902,8.475160789489745,0.08157724859055318,0.5753167181240221,0.011087569072782027
,,MLE-HBBMEncoder,5,,GradientBoostingClassifier,20210902,8.302134251594543,0.07917093071987821,0.5737119788181516,0.012102303731944255
,,MLE-HBBMEncoder,5,,MLPClassifier,20210902,17.044385647773744,0.22698915989916812,0.5897184024504059,0.014959250365461033
,,MLE-HBBMEncoder,10,,LogisticRegression,20210902,11.094131016731263,0.042515799746367086,0.5883264989995669,0.014076552773048204
,,MLE-HBBMEncoder,10,,RandomForestClassifier,20210902,11.72739782333374,0.05197626662750127,0.5784718420668569,0.010455578900332035
,,MLE-HBBMEncoder,10,,GradientBoostingClassifier,20210902,11.518279242515565,0.04536134509229189,0.5785681440644771,0.01037805834347345
,,MLE-HBBMEncoder,10,,MLPClassifier,20210902,18.337640500068666,2.93879428044343,0.5884392475552768,0.013642742633855601
,,MLE-HBBMEncoder,50,,LogisticRegression,20210902,32.73992004394531,4.099396724286788,0.625697632033143,0.01007130742277961
,,MLE-HBBMEncoder,50,,RandomForestClassifier,20210902,33.3541620016098,4.103312976549087,0.5827884816397859,0.011055476786297065
,,MLE-HBBMEncoder,50,,GradientBoostingClassifier,20210902,33.15263559818268,4.101442298547712,0.586779540402293,0.01080263959672349
,,MLE-HBBMEncoder,50,,MLPClassifier,20210902,41.75273246765137,4.040150298816465,0.6076236815499436,0.01589843180921057
,,JamesSteinEncoder,,20210902,LogisticRegression,20210902,0.08392024040222168,0.0013582207382820362,0.580576668921234,0.01292184259176637
,,JamesSteinEncoder,,20210902,RandomForestClassifier,20210902,0.6429425954818726,0.03539845598730352,0.5700092037993205,0.012977553829461906
,,JamesSteinEncoder,,20210902,GradientBoostingClassifier,20210902,0.48586986064910886,0.0014574894410224136,0.575106659959865,0.01331404156821473
,,JamesSteinEncoder,,20210902,MLPClassifier,20210902,2.6295228719711305,0.23510012298446287,0.5785947271885007,0.012946241581183123
,,GLMMEncoder,,20210902,LogisticRegression,20210902,125.45190634727479,5.934752861507599,0.5993985973538302,0.015392511534373918
,,GLMMEncoder,,20210902,RandomForestClassifier,20210902,126.11575176715851,5.948770417346225,0.5824483596962378,0.011809188442004282
,,GLMMEncoder,,20210902,GradientBoostingClassifier,20210902,125.91726000308991,5.937367427851947,0.5862517278945497,0.012103589035294746
,,GLMMEncoder,,20210902,MLPClassifier,20210902,133.58096992969513,6.027814785847612,0.5916375729372472,0.013343134044306561
,,TargetEncoder,,,LogisticRegression,20210902,0.07994658946990967,0.004614640612392438,0.5828679384507518,0.01389331571684493
,,TargetEncoder,,,RandomForestClassifier,20210902,0.6151797771453857,0.028613293014262506,0.5715195448009357,0.012176077214651667
,,TargetEncoder,,,GradientBoostingClassifier,20210902,0.5019799947738648,0.005320212027638695,0.5746270928537726,0.012262111823061826
,,TargetEncoder,,,MLPClassifier,20210902,9.258986449241638,0.33661784271545164,0.5868244773052236,0.014647028407148658
SmoothingGrid,roc_auc,TargetEncoder,,,LogisticRegression,20210902,7.688750195503235,0.07671374695943646,0.5847083999375828,0.013984918190261823
SmoothingGrid,roc_auc,TargetEncoder,,,RandomForestClassifier,20210902,32.15723330974579,0.4247760664020448,0.571509220416525,0.013090362034281142
SmoothingGrid,roc_auc,TargetEncoder,,,GradientBoostingClassifier,20210902,25.59221742153168,0.07655492378394145,0.5750768506543843,0.01323177706500589
