cv_grid,cv_scoring,encoder,encoder__max_iter,encoder__random_state,classifier,classifier__random_state,mean_fit_time,std_fit_time,mean_roc_auc,std_roc_auc
,,drop,,,LogisticRegression,20210902,,,,
,,drop,,,RandomForestClassifier,20210902,,,,
,,drop,,,GradientBoostingClassifier,20210902,,,,
,,drop,,,MLPClassifier,20210902,,,,
,,SpectralTargetEncoder,,,LogisticRegression,20210902,0.3641126871109009,0.02680023099800539,0.8453212565614094,0.009593393305619098
,,SpectralTargetEncoder,,,RandomForestClassifier,20210902,2.274741458892822,0.12103179307660436,0.8071996973822353,0.010549482322942453
,,SpectralTargetEncoder,,,GradientBoostingClassifier,20210902,2.47597336769104,0.017311551940935598,0.8369442469676805,0.007853206485139914
,,SpectralTargetEncoder,,,MLPClassifier,20210902,44.282818174362184,18.0375595168317,0.8308017899381124,0.007944224474573946
STEGrid,roc_auc,SpectralTargetEncoder,,,LogisticRegression,20210902,26.206756019592284,0.2779843689633688,0.8516504825650815,0.00803537213228173
STEGrid,roc_auc,SpectralTargetEncoder,,,RandomForestClassifier,20210902,112.28307950496674,2.344698224707348,0.8063876953064038,0.009295261191048669
STEGrid,roc_auc,SpectralTargetEncoder,,,GradientBoostingClassifier,20210902,123.68798542022705,0.28879839705259364,0.8372545594390548,0.007587792649263655
STEGrid,roc_auc,SpectralTargetEncoder,,,MLPClassifier,20210902,2168.844877767563,118.34994138800752,0.8299572398524704,0.006763845534049402
,,MLE-HBBMEncoder,,,LogisticRegression,20210902,60.25584282875061,0.4146934525462197,0.8335438960437893,0.011447647862541545
,,MLE-HBBMEncoder,,,RandomForestClassifier,20210902,62.13281552791595,0.5177736713829599,0.8082165941518042,0.01007667186397041
,,MLE-HBBMEncoder,,,GradientBoostingClassifier,20210902,62.4299556016922,0.4348760116820946,0.8283445770217762,0.009407176835762008
,,MLE-HBBMEncoder,,,MLPClassifier,20210902,101.25371778011322,13.819696469268369,0.8276815506270541,0.009316899901206247
,,MLE-HBBMEncoder,1,,LogisticRegression,20210902,11.993804669380188,0.12472092704139157,0.8256496655479204,0.010499125113058238
,,MLE-HBBMEncoder,1,,RandomForestClassifier,20210902,13.81244990825653,0.22138964983326528,0.7319532644599119,0.007869423545853045
,,MLE-HBBMEncoder,1,,GradientBoostingClassifier,20210902,14.113983106613158,0.12779917348927589,0.7733272850743658,0.009913967315215152
,,MLE-HBBMEncoder,1,,MLPClassifier,20210902,25.315934658050537,17.35901396106405,0.8129069987291118,0.00902436073080705
,,MLE-HBBMEncoder,5,,LogisticRegression,20210902,27.66774492263794,0.34443826659252774,0.8292050293442003,0.012649277325578585
,,MLE-HBBMEncoder,5,,RandomForestClassifier,20210902,29.326684880256654,0.3785666174981101,0.7629505358064437,0.01158905791703391
,,MLE-HBBMEncoder,5,,GradientBoostingClassifier,20210902,29.7905321598053,0.3480284850888705,0.7880583049406404,0.007832246790550258
,,MLE-HBBMEncoder,5,,MLPClassifier,20210902,40.415816688537596,15.97634644284236,0.818782448975727,0.011283548169650466
,,MLE-HBBMEncoder,10,,LogisticRegression,20210902,39.79251275062561,0.42076482368596396,0.8253419683030279,0.012539268690359916
,,MLE-HBBMEncoder,10,,RandomForestClassifier,20210902,41.77193074226379,0.43933803954505796,0.7686076349917385,0.014316071242227855
,,MLE-HBBMEncoder,10,,GradientBoostingClassifier,20210902,41.925478076934816,0.4199376313418239,0.8080018272150413,0.012656821349345274
,,MLE-HBBMEncoder,10,,MLPClassifier,20210902,52.26309235095978,15.719803001036135,0.8166110898441957,0.010288955650424038
,,MLE-HBBMEncoder,50,,LogisticRegression,20210902,59.58727676868439,0.4018304442282493,0.8335438960437893,0.011447647862541545
,,MLE-HBBMEncoder,50,,RandomForestClassifier,20210902,61.63245780467987,0.4169886926478017,0.8082165941518042,0.01007667186397041
,,MLE-HBBMEncoder,50,,GradientBoostingClassifier,20210902,61.70524897575378,0.40419203733455145,0.8283445770217762,0.009407176835762008
,,MLE-HBBMEncoder,50,,MLPClassifier,20210902,100.86194820404053,13.933062052089277,0.8276815506270541,0.009316899901206247
,,JamesSteinEncoder,,20210902,LogisticRegression,20210902,0.3381621837615967,0.025593642408073092,0.8390069653371255,0.012862344409653049
,,JamesSteinEncoder,,20210902,RandomForestClassifier,20210902,1.7787590742111206,0.11356486911241812,0.7671874168645278,0.010121933936421365
,,JamesSteinEncoder,,20210902,GradientBoostingClassifier,20210902,2.118669128417969,0.02186047699862019,0.7886768941052541,0.017948448834047517
,,JamesSteinEncoder,,20210902,MLPClassifier,20210902,15.435498547554015,3.1772332312152782,0.8086192369573677,0.012389773420558229
,,GLMMEncoder,,20210902,LogisticRegression,20210902,13832.462513804436,724.3159462686788,0.8476199646648798,0.007303003017531365
,,GLMMEncoder,,20210902,RandomForestClassifier,20210902,13834.240868735313,724.3424574752468,0.7985632865054819,0.008273540901594705
,,GLMMEncoder,,20210902,GradientBoostingClassifier,20210902,13834.738503098488,724.3195773379636,0.7987275493489899,0.010307474112967318
,,GLMMEncoder,,20210902,MLPClassifier,20210902,13856.671153378487,728.0730444015587,0.8324702768904295,0.005169020899536193
,,TargetEncoder,,,LogisticRegression,20210902,0.3386310815811157,0.03718637951113375,0.8380326280206777,0.009868069165076711
,,TargetEncoder,,,RandomForestClassifier,20210902,2.044355869293213,0.1262779150268562,0.8016785010369725,0.012608992725122541
,,TargetEncoder,,,GradientBoostingClassifier,20210902,2.3442144632339477,0.010041671936323984,0.8039204741786025,0.010784553680231889
,,TargetEncoder,,,MLPClassifier,20210902,42.05081446170807,9.989038857070437,0.8284405946173242,0.00983342772017163
SmoothingGrid,roc_auc,TargetEncoder,,,LogisticRegression,20210902,23.476715302467348,0.20749667940811048,0.8447263267788317,0.009159380555406323
SmoothingGrid,roc_auc,TargetEncoder,,,RandomForestClassifier,20210902,113.36824142932892,1.2857030385613286,0.8062436815874772,0.011384558087714191
SmoothingGrid,roc_auc,TargetEncoder,,,GradientBoostingClassifier,20210902,119.05658209323883,1.4558267797647444,0.8185836585789525,0.014364033508073014
