cv_grid,cv_scoring,encoder,encoder__max_iter,encoder__random_state,classifier,classifier__random_state,mean_roc_auc,std_roc_auc,mean_fit_time,std_fit_time
,,drop,,,LogisticRegression,20210902,0.5018308616357803,0.00719483674420817,0.05320403575897217,0.002000490838288945
,,drop,,,RandomForestClassifier,20210902,0.6006696771344853,0.00504660041351109,8.143902158737182,0.20925408047010854
,,drop,,,GradientBoostingClassifier,20210902,0.5344132095699693,0.007589295234176206,1.744225764274597,0.009572915030137455
,,drop,,,MLPClassifier,20210902,0.4983631441697753,0.005508895343432728,4.481318140029908,1.5946616394105366
,,SpectralTargetEncoder,,,LogisticRegression,20210902,0.9049880103317669,0.0029095048642183525,0.5017581462860108,0.01852706604848122
,,SpectralTargetEncoder,,,RandomForestClassifier,20210902,0.8864728617319617,0.0021789546561342093,3.4091900825500487,0.1447913811376756
,,SpectralTargetEncoder,,,GradientBoostingClassifier,20210902,0.9117666723106792,0.002628260211172229,3.3809821128845217,0.024532824202385173
,,SpectralTargetEncoder,,,MLPClassifier,20210902,0.9100125702659259,0.0024027359344298903,32.06489243507385,11.586046645580476
STEGrid,roc_auc,SpectralTargetEncoder,,,LogisticRegression,20210902,0.9049873238215319,0.0029094463221886646,30.92314202785492,0.49294702534638
STEGrid,roc_auc,SpectralTargetEncoder,,,RandomForestClassifier,20210902,0.8865143539307946,0.0022263757459199257,160.2365428686142,1.9490992647223844
STEGrid,roc_auc,SpectralTargetEncoder,,,GradientBoostingClassifier,20210902,0.9117666723106792,0.002628260211172229,168.65331828594208,1.7460354944215022
STEGrid,roc_auc,SpectralTargetEncoder,,,MLPClassifier,20210902,0.9099528219296807,0.0025342878814768374,1750.4136654138565,172.51843453007197
,,MLE-HBBMEncoder,,,LogisticRegression,20210902,0.9049822522651485,0.0029094967747348138,3.8877186298370363,0.3686817171325404
,,MLE-HBBMEncoder,,,RandomForestClassifier,20210902,0.886551897651831,0.0024323303111069626,6.564030408859253,0.432688955370228
,,MLE-HBBMEncoder,,,GradientBoostingClassifier,20210902,0.9117819070799872,0.0025870985087015413,6.696091675758362,0.37566143781078387
,,MLE-HBBMEncoder,,,MLPClassifier,20210902,0.9099645349891891,0.0025412843561282,33.5319509267807,10.92579859441861
,,MLE-HBBMEncoder,1,,LogisticRegression,20210902,0.9049763770697424,0.002919519321582002,0.7444470167160034,0.04590657542404757
,,MLE-HBBMEncoder,1,,RandomForestClassifier,20210902,0.8862873633012317,0.0025410928260765266,3.5265456199645997,0.1106549821241774
,,MLE-HBBMEncoder,1,,GradientBoostingClassifier,20210902,0.9118200883811495,0.002656442653165622,3.601429057121277,0.0265514859526885
,,MLE-HBBMEncoder,1,,MLPClassifier,20210902,0.9099291267077086,0.0025518652757241904,27.90604438781738,9.212019784822793
,,MLE-HBBMEncoder,5,,LogisticRegression,20210902,0.9049722837076812,0.0029173507331028106,1.5041186571121217,0.04037890649983876
,,MLE-HBBMEncoder,5,,RandomForestClassifier,20210902,0.886877036213854,0.002397433674901945,4.323161840438843,0.0850028489099347
,,MLE-HBBMEncoder,5,,GradientBoostingClassifier,20210902,0.9117804826419957,0.0026313444872534193,4.353082799911499,0.019717177557416712
,,MLE-HBBMEncoder,5,,MLPClassifier,20210902,0.9100800398609818,0.0023060072251685176,33.7815762758255,11.794972964266698
,,MLE-HBBMEncoder,10,,LogisticRegression,20210902,0.9049800165173687,0.0029111406216415395,1.9784735202789308,0.05220930798918778
,,MLE-HBBMEncoder,10,,RandomForestClassifier,20210902,0.8866746330048523,0.0022082530476588763,4.801979804039002,0.10658684157298222
,,MLE-HBBMEncoder,10,,GradientBoostingClassifier,20210902,0.9118424675414053,0.002620540693392914,4.811725711822509,0.04072056785144439
,,MLE-HBBMEncoder,10,,MLPClassifier,20210902,0.9099690566903359,0.0025465674854144977,32.00123631954193,13.886531004905573
,,MLE-HBBMEncoder,50,,LogisticRegression,20210902,0.9049822522651485,0.0029094967747348138,3.846077489852905,0.35876848964407443
,,MLE-HBBMEncoder,50,,RandomForestClassifier,20210902,0.886551897651831,0.0024323303111069626,6.469303178787231,0.37185589072992253
,,MLE-HBBMEncoder,50,,GradientBoostingClassifier,20210902,0.9117819070799872,0.0025870985087015413,6.656224083900452,0.3632482186331972
,,MLE-HBBMEncoder,50,,MLPClassifier,20210902,0.9099645349891891,0.0025412843561282,33.580715370178225,10.8236410949547
,,JamesSteinEncoder,,20210902,LogisticRegression,20210902,0.9066480544708784,0.002831480325510396,0.6388299465179443,0.04312394642872505
,,JamesSteinEncoder,,20210902,RandomForestClassifier,20210902,0.8862761442137431,0.0024990430688790906,3.397884178161621,0.14650670438812197
,,JamesSteinEncoder,,20210902,GradientBoostingClassifier,20210902,0.9118221437357118,0.0026272867019130008,3.4005563259124756,0.029543216779701474
,,JamesSteinEncoder,,20210902,MLPClassifier,20210902,0.9095406348495348,0.002530863009729758,25.157721304893492,4.121922017614058
,,GLMMEncoder,,20210902,LogisticRegression,20210902,0.9069490996093805,0.002542359956145486,56.97979652881622,2.78210941289715
,,GLMMEncoder,,20210902,RandomForestClassifier,20210902,0.8865243742267342,0.0022618953088867156,59.95223762989044,2.7710949856820175
,,GLMMEncoder,,20210902,GradientBoostingClassifier,20210902,0.9118131853724382,0.0025443002372540703,59.951319909095766,2.7963521255889217
,,GLMMEncoder,,20210902,MLPClassifier,20210902,0.9089484218746005,0.0024116483770383118,98.26580605506896,11.412972203521845
,,TargetEncoder,,,LogisticRegression,20210902,0.9049863296848135,0.002921774481165077,0.5819024324417115,0.05198875828599337
