model,model__method,a,b,n_categories,n_observations,mean_a_,std_a_,mean_b_,std_b_,mean_mu_,std_mu_,mean_mu2p_,std_mu2p_,mean_nu_,std_nu_,mean_error_a,std_error_a,mean_error_b,std_error_b,mean_error_mu,std_error_mu,mean_error_mu2p,std_error_mu2p,mean_error_nu,std_error_nu,mean_error_a-b,std_error_a-b,mean_error_mu-mu2p,std_error_mu-mu2p,mean_nloglike,std_nloglike,mean_n_iter,std_n_iter,mean_fit_time,std_fit_time
HBBM,spectral,10,100,100,100,10.386611356516013,2.68491378225178,104.35756914551928,27.23506818530801,0.09067000031937691,0.003903575270567803,0.00899744268009719,0.0007975603778293702,114.74418050203526,29.876996249452215,2.2178643459149345,1.5618284484001534,22.755953489097397,15.585375475694963,0.003144909051419108,0.0023247819814727695,0.0006343305461842529,0.00048359186761711754,24.973817835012326,17.071923625335643,22.883198733167706,15.635050176248955,0.02346157280985614,0.009958926231032651,274.8412449018055,6.537273813784456,9.66,0.802745289615579,0.000740973949432373,3.197573872753606e-05
HBBM,spectral,10,100,100,1000,10.731157693275115,2.024343217034883,106.91162237475511,20.300261183236657,0.09129690006315039,0.002943148907581323,0.009068995846643158,0.0006009057052548845,117.64278006803022,22.29239295875029,1.7297203264491976,1.2808686993829648,17.11289015047231,12.923626374075816,0.0024487000164240785,0.001678210255520499,0.0004887792968069851,0.00035465601124199926,18.80477624466002,14.20363549883937,17.209392701104594,12.974609352531534,0.020660806854278606,0.008409689552495308,473.4623767350651,8.012050540805374,3.88,0.32496153618543844,0.003447108268737793,0.0001634870100177462
HBBM,spectral,10,100,1000,1,2.754486097109107e-05,2.580235081026288e-07,0.00027315332089523377,2.54217635273368e-05,0.09231001227297791,0.008496698083728159,0.09228501978587239,0.008496697459067884,0.0003006981818663248,2.5165504823201868e-05,9.999972455139028,2.580235081295867e-07,99.99972684667908,2.542176352593062e-05,0.007055454232751968,0.004937309445777843,0.08327601077686339,0.008496697459067884,109.99969930181813,2.516550482293579e-05,100.4984816726799,2.5270099849564323e-05,0.28832571613876234,0.014780008421076199,307.41863179041326,19.428769983972806,2.0,0.0,0.00033225297927856444,1.470848465598711e-05
HBBM,spectral,10,100,1000,10,4.851665465637843,0.6678799767771476,48.528943795572694,6.60018684579755,0.09091600003349429,0.0030291160405947004,0.009824506843822777,0.0006462436374498649,53.38060926121054,7.244030203395549,5.1483345343621565,0.6678799767771477,51.471056204427306,6.600186845797551,0.002354545451318515,0.001905703922718171,0.0008836658467806201,0.0005493652962864186,56.61939073878946,7.244030203395549,51.72826051832661,6.631030771152496,0.02822176936202073,0.00981698388411208,1247.219893919704,20.580999552720527,38.32,0.9682974749528164,0.001802990436553955,4.6248746625185554e-05
HBBM,spectral,10,100,1000,100,9.422914013548713,0.8273589665905662,94.0834976493877,8.673164063801394,0.09107500026304233,0.0012138249500443052,0.0090948032182471,0.0002626483268411167,103.50641166293643,9.491137496746486,0.8454818955032664,0.5501922025369576,8.854109668576484,5.642119895858047,0.000991563685087439,0.0007195125999553158,0.00022131177724423988,0.00016542637995260455,9.694199923178669,6.1863453122856065,8.89635447055864,5.665792369293496,0.01374786760112664,0.005814534425834185,2763.5272413588273,23.10636819456226,9.52,0.4995998398718718,0.0039207983016967774,0.00010162537037653613
HBBM,spectral,10,100,1000,1000,10.060004751600637,0.5311962205341946,100.60353109311454,5.429384181334334,0.09091457003269707,0.000799595237383225,0.009008399988924748,0.00016367019658440827,110.66353584471517,5.952776056539879,0.424125304803798,0.32540393474810997,4.274129167579334,3.4020996792755978,0.0006250281821773683,0.0004987206993152396,0.0001275471937920598,0.00010256713660433647,4.691780815011821,3.7233070489046924,4.297892955147781,3.414139497720482,0.010312398061935145,0.004673437981689438,4750.258675023536,22.449187371970474,4.0,0.0,0.04563345432281494,0.0005244392951251133
HBBM,spectral,100,100,1,1,1.1400500000129605,0.990151503570182,3.8700499999999964,4.455681766015158,0.5699881395748104,0.4950606251141987,0.5699764901623909,0.4950548496732199,5.010100000012956,3.465530262444976,98.85994999998704,0.9901515035701819,96.12995,4.4556817660151555,0.49998336185011866,9.625884697218924e-06,0.534801883017577,0.24628599216270372,194.98989999998702,3.4655302624449806,137.94718854715848,2.379847250806752,0.8740584053416214,0.14424683458864265,1.6638334627998575e-05,9.626031756198483e-06,5.01,3.465530262456238,0.00023524045944213866,6.99879357646824e-05
HBBM,spectral,100,100,1,10,78.03005000000057,13.504410390684253,89.27005000000028,37.3619739842524,0.4889999915444713,0.15092703613662434,0.2632767525655519,0.15311114102894843,167.30010000000087,25.252920623166734,21.96994999999942,13.504410390684253,31.489993999999257,22.790989554700282,0.12099992333671442,0.09087897983316517,0.11968614919473533,0.09624468608990618,33.699933999998855,23.902048205240117,41.96718885424506,20.367910783314816,0.32487446807776643,0.19246480096093233,1.382997111319397,0.06806069388764636,16.73,2.525292062316753,0.00047817707061767576,5.252961130128944e-05
HBBM,spectral,100,100,1,100,300.1900500000104,25.23358674465886,298.8100500000098,31.833220069605275,0.5016999996180954,0.04580512300048033,0.2542145043344191,0.0455428906870448,599.0001000000202,17.29161646579109,200.1900500000104,25.23358674465886,198.8100500000098,31.83322006960528,0.036299993908572456,0.02798767110761913,0.03628175801358407,0.02768779738700559,399.00010000002015,17.29161646579109,284.7706494259175,12.540220315227408,0.1773300233227857,0.08328757490595455,2.603967156741086,0.005694066694407518,5.99,0.17291616465790585,0.0002646160125732422,9.437237420234929e-06
HBBM,spectral,100,100,1,1000,1487.1100499999784,113.81246812187908,1492.8900499999882,149.89622376836488,0.4998199999668335,0.039722631906522345,0.2514814862324118,0.040168039986142774,2980.000099999967,140.00000000008035,1387.1100499999784,113.81246812187908,1392.8900499999882,149.89622376836488,0.03065999893883338,0.02525637247634234,0.030766428735580845,0.025825468106490668,2780.000099999967,140.00000000008035,1972.5019152713928,94.20898179371984,0.1627531518558173,0.07652293892795235,3.821769538857693,0.005908158828916787,2.98,0.13999999999999999,0.00023704767227172852,1.165168817500982e-05
